fips,avg_wkly_wage,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,ind,own,size,qtr,year
01000,1115,49,4.6,10,8,0,3,2021
02000,1239,43,3.6,10,8,0,3,2021
04000,1211,65,5.7,10,8,0,3,2021
05000,963,62,6.9,10,8,0,3,2021
06000,1536,19,1.3,10,8,0,3,2021
08000,1301,60,4.8,10,8,0,3,2021
09000,1344,49,3.8,10,8,0,3,2021
10000,1232,-16,-1.3,10,8,0,3,2021
11000,2200,44,2.0,10,8,0,3,2021
12000,1149,72,6.7,10,8,0,3,2021
13000,1088,63,6.1,10,8,0,3,2021
15000,1357,27,2.0,10,8,0,3,2021
16000,933,43,4.8,10,8,0,3,2021
17000,1183,32,2.8,10,8,0,3,2021
18000,987,33,3.5,10,8,0,3,2021
19000,1088,27,2.5,10,8,0,3,2021
20000,855,18,2.2,10,8,0,3,2021
21000,953,50,5.5,10,8,0,3,2021
22000,1011,41,4.2,10,8,0,3,2021
23000,1051,36,3.5,10,8,0,3,2021
24000,1517,7,0.5,10,8,0,3,2021
25000,1387,52,3.9,10,8,0,3,2021
26000,1196,58,5.1,10,8,0,3,2021
27000,1200,24,2.0,10,8,0,3,2021
28000,902,51,6.0,10,8,0,3,2021
29000,957,34,3.7,10,8,0,3,2021
30000,993,-7,-0.7,10,8,0,3,2021
31000,1035,11,1.1,10,8,0,3,2021
32000,1295,50,4.0,10,8,0,3,2021
33000,1087,31,2.9,10,8,0,3,2021
34000,1344,11,0.8,10,8,0,3,2021
35000,1108,32,3.0,10,8,0,3,2021
36000,1508,146,10.7,10,8,0,3,2021
37000,1084,41,3.9,10,8,0,3,2021
38000,983,17,1.8,10,8,0,3,2021
39000,1193,53,4.6,10,8,0,3,2021
40000,997,41,4.3,10,8,0,3,2021
41000,1333,64,5.0,10,8,0,3,2021
42000,1230,46,3.9,10,8,0,3,2021
44000,1346,67,5.2,10,8,0,3,2021
45000,1048,53,5.3,10,8,0,3,2021
46000,950,33,3.6,10,8,0,3,2021
47000,1034,66,6.8,10,8,0,3,2021
48000,1158,54,4.9,10,8,0,3,2021
49000,1056,48,4.8,10,8,0,3,2021
50000,1054,20,1.9,10,8,0,3,2021
51000,1296,45,3.6,10,8,0,3,2021
53000,1455,64,4.6,10,8,0,3,2021
54000,991,15,1.5,10,8,0,3,2021
55000,996,54,5.7,10,8,0,3,2021
56000,1048,44,4.4,10,8,0,3,2021
72000,642,20,3.2,10,8,0,3,2021
78000,1243,96,8.4,10,8,0,3,2021
US000,1240,52,4.4,10,8,0,3,2021
