fips,avg_wkly_wage,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,ind,own,size,qtr,year
01000,984,18,1.9,10,5,0,1,2021
01001,807,-30,-3.6,10,5,0,1,2021
01003,757,36,5.0,10,5,0,1,2021
01005,719,-27,-3.6,10,5,0,1,2021
01007,846,-68,-7.4,10,5,0,1,2021
01009,705,22,3.2,10,5,0,1,2021
01011,719,16,2.3,10,5,0,1,2021
01013,705,20,2.9,10,5,0,1,2021
01015,788,58,7.9,10,5,0,1,2021
01017,757,25,3.4,10,5,0,1,2021
01019,667,32,5.0,10,5,0,1,2021
01021,772,19,2.5,10,5,0,1,2021
01023,1060,-14,-1.3,10,5,0,1,2021
01025,855,11,1.3,10,5,0,1,2021
01027,767,41,5.6,10,5,0,1,2021
01029,969,123,14.5,10,5,0,1,2021
01031,679,15,2.3,10,5,0,1,2021
01033,876,31,3.7,10,5,0,1,2021
01035,753,34,4.7,10,5,0,1,2021
01037,802,77,10.6,10,5,0,1,2021
01039,749,35,4.9,10,5,0,1,2021
01041,725,8,1.1,10,5,0,1,2021
01043,801,38,5.0,10,5,0,1,2021
01045,1037,-32,-3.0,10,5,0,1,2021
01047,793,-25,-3.1,10,5,0,1,2021
01049,758,30,4.1,10,5,0,1,2021
01051,680,-2,-0.3,10,5,0,1,2021
01053,792,13,1.7,10,5,0,1,2021
01055,730,-98,-11.8,10,5,0,1,2021
01057,677,7,1.0,10,5,0,1,2021
01059,711,15,2.2,10,5,0,1,2021
01061,643,7,1.1,10,5,0,1,2021
01063,664,34,5.4,10,5,0,1,2021
01065,805,55,7.3,10,5,0,1,2021
01067,800,-23,-2.8,10,5,0,1,2021
01069,852,24,2.9,10,5,0,1,2021
01071,777,68,9.6,10,5,0,1,2021
01073,1229,38,3.2,10,5,0,1,2021
01075,795,-42,-5.0,10,5,0,1,2021
01077,722,39,5.7,10,5,0,1,2021
01079,764,60,8.5,10,5,0,1,2021
01081,732,33,4.7,10,5,0,1,2021
01083,859,8,0.9,10,5,0,1,2021
01085,861,-120,-12.2,10,5,0,1,2021
01087,651,45,7.4,10,5,0,1,2021
01089,1200,-23,-1.9,10,5,0,1,2021
01091,884,7,0.8,10,5,0,1,2021
01093,706,24,3.5,10,5,0,1,2021
01095,739,19,2.6,10,5,0,1,2021
01097,931,-7,-0.7,10,5,0,1,2021
01099,866,-66,-7.1,10,5,0,1,2021
01101,910,40,4.6,10,5,0,1,2021
01103,953,15,1.6,10,5,0,1,2021
01105,647,23,3.7,10,5,0,1,2021
01107,719,-2,-0.3,10,5,0,1,2021
01109,782,1,0.1,10,5,0,1,2021
01111,683,34,5.2,10,5,0,1,2021
01113,769,22,2.9,10,5,0,1,2021
01115,806,23,2.9,10,5,0,1,2021
01117,1202,21,1.8,10,5,0,1,2021
01119,697,0,0.0,10,5,0,1,2021
01121,871,-12,-1.4,10,5,0,1,2021
01123,703,36,5.4,10,5,0,1,2021
01125,913,27,3.0,10,5,0,1,2021
01127,775,12,1.6,10,5,0,1,2021
01129,1492,-27,-1.8,10,5,0,1,2021
01131,983,14,1.4,10,5,0,1,2021
01133,757,-4,-0.5,10,5,0,1,2021
01999,1518,20,1.3,10,5,0,1,2021
02000,1120,-17,-1.5,10,5,0,1,2021
02013,1083,-82,-7.0,10,5,0,1,2021
02016,1103,-108,-8.9,10,5,0,1,2021
02020,1166,8,0.7,10,5,0,1,2021
02050,1029,-2,-0.2,10,5,0,1,2021
02060,1210,177,17.1,10,5,0,1,2021
02063,1390,-20,-1.4,10,5,0,1,2021
02066,945,-116,-10.9,10,5,0,1,2021
02068,1544,66,4.5,10,5,0,1,2021
02070,1012,4,0.4,10,5,0,1,2021
02090,977,1,0.1,10,5,0,1,2021
02100,671,28,4.4,10,5,0,1,2021
02105,529,-107,-16.8,10,5,0,1,2021
02110,998,70,7.5,10,5,0,1,2021
02122,972,14,1.5,10,5,0,1,2021
02130,892,16,1.8,10,5,0,1,2021
02150,885,11,1.3,10,5,0,1,2021
02158,682,-3,-0.4,10,5,0,1,2021
02164,755,-17,-2.2,10,5,0,1,2021
02170,817,-28,-3.3,10,5,0,1,2021
02180,1340,210,18.6,10,5,0,1,2021
02185,2332,-58,-2.4,10,5,0,1,2021
02188,1656,-62,-3.6,10,5,0,1,2021
02195,746,146,24.3,10,5,0,1,2021
02198,731,6,0.8,10,5,0,1,2021
02220,818,0,0.0,10,5,0,1,2021
02230,612,-37,-5.7,10,5,0,1,2021
02240,1476,38,2.6,10,5,0,1,2021
02275,723,47,7.0,10,5,0,1,2021
02282,899,-40,-4.3,10,5,0,1,2021
02290,1063,130,13.9,10,5,0,1,2021
02999,1401,-61,-4.2,10,5,0,1,2021
04000,1159,59,5.4,10,5,0,1,2021
04001,854,35,4.3,10,5,0,1,2021
04003,856,3,0.4,10,5,0,1,2021
04005,786,-2,-0.3,10,5,0,1,2021
04007,951,59,6.6,10,5,0,1,2021
04009,960,98,11.4,10,5,0,1,2021
04011,1829,241,15.2,10,5,0,1,2021
04012,718,38,5.6,10,5,0,1,2021
04013,1228,66,5.7,10,5,0,1,2021
04015,774,6,0.8,10,5,0,1,2021
04017,736,24,3.4,10,5,0,1,2021
04019,996,29,3.0,10,5,0,1,2021
04021,827,19,2.4,10,5,0,1,2021
04023,779,33,4.4,10,5,0,1,2021
04025,806,40,5.2,10,5,0,1,2021
04027,789,42,5.6,10,5,0,1,2021
04999,2026,38,1.9,10,5,0,1,2021
05000,971,40,4.3,10,5,0,1,2021
05001,777,15,2.0,10,5,0,1,2021
05003,840,-36,-4.1,10,5,0,1,2021
05005,697,8,1.2,10,5,0,1,2021
05007,1701,132,8.4,10,5,0,1,2021
05009,759,18,2.4,10,5,0,1,2021
05011,718,7,1.0,10,5,0,1,2021
05013,1189,-71,-5.6,10,5,0,1,2021
05015,631,25,4.1,10,5,0,1,2021
05017,647,15,2.4,10,5,0,1,2021
05019,713,-4,-0.6,10,5,0,1,2021
05021,617,43,7.5,10,5,0,1,2021
05023,671,29,4.5,10,5,0,1,2021
05025,688,18,2.7,10,5,0,1,2021
05027,800,-8,-1.0,10,5,0,1,2021
05029,814,31,4.0,10,5,0,1,2021
05031,813,17,2.1,10,5,0,1,2021
05033,735,23,3.2,10,5,0,1,2021
05035,726,1,0.1,10,5,0,1,2021
05037,636,10,1.6,10,5,0,1,2021
05039,709,15,2.2,10,5,0,1,2021
05041,760,7,0.9,10,5,0,1,2021
05043,684,26,4.0,10,5,0,1,2021
05045,800,9,1.1,10,5,0,1,2021
05047,689,-45,-6.1,10,5,0,1,2021
05049,667,52,8.5,10,5,0,1,2021
05051,715,-3,-0.4,10,5,0,1,2021
05053,846,32,3.9,10,5,0,1,2021
05055,720,-8,-1.1,10,5,0,1,2021
05057,765,7,0.9,10,5,0,1,2021
05059,747,17,2.3,10,5,0,1,2021
05061,704,26,3.8,10,5,0,1,2021
05063,809,33,4.3,10,5,0,1,2021
05065,610,-8,-1.3,10,5,0,1,2021
05067,778,11,1.4,10,5,0,1,2021
05069,823,11,1.4,10,5,0,1,2021
05071,646,33,5.4,10,5,0,1,2021
05073,611,14,2.3,10,5,0,1,2021
05075,649,7,1.1,10,5,0,1,2021
05077,702,55,8.5,10,5,0,1,2021
05079,670,32,5.0,10,5,0,1,2021
05081,1282,-63,-4.7,10,5,0,1,2021
05083,660,11,1.7,10,5,0,1,2021
05085,672,-5,-0.7,10,5,0,1,2021
05087,723,25,3.6,10,5,0,1,2021
05089,659,9,1.4,10,5,0,1,2021
05091,768,-10,-1.3,10,5,0,1,2021
05093,1182,127,12.0,10,5,0,1,2021
05095,620,3,0.5,10,5,0,1,2021
05097,501,0,0.0,10,5,0,1,2021
05099,950,34,3.7,10,5,0,1,2021
05101,0,0,0,10,5,0,1,2021
05103,721,38,5.6,10,5,0,1,2021
05105,640,-22,-3.3,10,5,0,1,2021
05107,663,28,4.4,10,5,0,1,2021
05109,674,30,4.7,10,5,0,1,2021
05111,854,29,3.5,10,5,0,1,2021
05113,641,-4,-0.6,10,5,0,1,2021
05115,833,19,2.3,10,5,0,1,2021
05117,667,40,6.4,10,5,0,1,2021
05119,1039,40,4.0,10,5,0,1,2021
05121,669,24,3.7,10,5,0,1,2021
05123,711,62,9.6,10,5,0,1,2021
05125,706,12,1.7,10,5,0,1,2021
05127,588,7,1.2,10,5,0,1,2021
05129,515,-11,-2.1,10,5,0,1,2021
05131,899,26,3.0,10,5,0,1,2021
05133,703,36,5.4,10,5,0,1,2021
05135,624,8,1.3,10,5,0,1,2021
05137,596,36,6.4,10,5,0,1,2021
05139,1116,-59,-5.0,10,5,0,1,2021
05141,770,55,7.7,10,5,0,1,2021
05143,893,22,2.5,10,5,0,1,2021
05145,747,17,2.3,10,5,0,1,2021
05147,777,54,7.5,10,5,0,1,2021
05149,628,23,3.8,10,5,0,1,2021
05999,0,0,0,10,5,0,1,2021
06000,1644,182,12.4,10,5,0,1,2021
06001,1764,156,9.7,10,5,0,1,2021
06003,618,-101,-14.0,10,5,0,1,2021
06005,851,54,6.8,10,5,0,1,2021
06007,879,55,6.7,10,5,0,1,2021
06009,734,50,7.3,10,5,0,1,2021
06011,831,15,1.8,10,5,0,1,2021
06013,1614,157,10.8,10,5,0,1,2021
06015,750,35,4.9,10,5,0,1,2021
06017,1048,38,3.8,10,5,0,1,2021
06019,880,49,5.9,10,5,0,1,2021
06021,789,-10,-1.3,10,5,0,1,2021
06023,837,82,10.9,10,5,0,1,2021
06025,663,7,1.1,10,5,0,1,2021
06027,803,25,3.2,10,5,0,1,2021
06029,914,5,0.6,10,5,0,1,2021
06031,801,-16,-2.0,10,5,0,1,2021
06033,811,54,7.1,10,5,0,1,2021
06035,777,26,3.5,10,5,0,1,2021
06037,1413,105,8.0,10,5,0,1,2021
06039,838,-1,-0.1,10,5,0,1,2021
06041,1732,159,10.1,10,5,0,1,2021
06043,604,11,1.9,10,5,0,1,2021
06045,824,54,7.0,10,5,0,1,2021
06047,826,35,4.4,10,5,0,1,2021
06049,682,45,7.1,10,5,0,1,2021
06051,689,52,8.2,10,5,0,1,2021
06053,911,28,3.2,10,5,0,1,2021
06055,1177,95,8.8,10,5,0,1,2021
06057,908,86,10.5,10,5,0,1,2021
06059,1433,118,9.0,10,5,0,1,2021
06061,1231,99,8.7,10,5,0,1,2021
06063,834,65,8.5,10,5,0,1,2021
06065,899,49,5.8,10,5,0,1,2021
06067,1190,68,6.1,10,5,0,1,2021
06069,886,39,4.6,10,5,0,1,2021
06071,941,35,3.9,10,5,0,1,2021
06073,1428,123,9.4,10,5,0,1,2021
06075,4009,1130,39.2,10,5,0,1,2021
06077,943,47,5.2,10,5,0,1,2021
06079,970,61,6.7,10,5,0,1,2021
06081,3709,696,23.1,10,5,0,1,2021
06083,1113,89,8.7,10,5,0,1,2021
06085,3666,652,21.6,10,5,0,1,2021
06087,1120,75,7.2,10,5,0,1,2021
06089,912,74,8.8,10,5,0,1,2021
06091,531,87,19.6,10,5,0,1,2021
06093,783,58,8.0,10,5,0,1,2021
06095,1199,-74,-5.8,10,5,0,1,2021
06097,1287,163,14.5,10,5,0,1,2021
06099,1015,74,7.9,10,5,0,1,2021
06101,823,37,4.7,10,5,0,1,2021
06103,886,93,11.7,10,5,0,1,2021
06105,802,146,22.3,10,5,0,1,2021
06107,786,36,4.8,10,5,0,1,2021
06109,857,24,2.9,10,5,0,1,2021
06111,1237,70,6.0,10,5,0,1,2021
