fips,avg_wkly_wage,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,ind,own,size,qtr,year
01000,1693,35,2.1,10,1,0,2,2021
01001,1274,28,2.2,10,1,0,2,2021
01003,1325,74,5.9,10,1,0,2,2021
01005,1254,100,8.7,10,1,0,2,2021
01007,1334,9,0.7,10,1,0,2,2021
01009,1221,73,6.4,10,1,0,2,2021
01011,1213,106,9.6,10,1,0,2,2021
01013,1088,89,8.9,10,1,0,2,2021
01015,1135,-50,-4.2,10,1,0,2,2021
01017,1198,137,12.9,10,1,0,2,2021
01019,1129,234,26.1,10,1,0,2,2021
01021,1024,27,2.7,10,1,0,2,2021
01023,983,116,13.4,10,1,0,2,2021
01025,1205,57,5.0,10,1,0,2,2021
01027,1305,129,11.0,10,1,0,2,2021
01029,1177,21,1.8,10,1,0,2,2021
01031,1304,27,2.1,10,1,0,2,2021
01033,2062,212,11.5,10,1,0,2,2021
01035,1074,211,24.4,10,1,0,2,2021
01037,1006,63,6.7,10,1,0,2,2021
01039,1263,141,12.6,10,1,0,2,2021
01041,927,40,4.5,10,1,0,2,2021
01043,1187,15,1.3,10,1,0,2,2021
01045,1255,1,0.1,10,1,0,2,2021
01047,1374,115,9.1,10,1,0,2,2021
01049,1143,18,1.6,10,1,0,2,2021
01051,1076,32,3.1,10,1,0,2,2021
01053,1227,90,7.9,10,1,0,2,2021
01055,1549,50,3.3,10,1,0,2,2021
01057,989,-26,-2.6,10,1,0,2,2021
01059,1246,55,4.6,10,1,0,2,2021
01061,1038,54,5.5,10,1,0,2,2021
01063,1090,235,27.5,10,1,0,2,2021
01065,1125,55,5.1,10,1,0,2,2021
01067,983,11,1.1,10,1,0,2,2021
01069,1332,29,2.2,10,1,0,2,2021
01071,1358,71,5.5,10,1,0,2,2021
01073,1607,-14,-0.9,10,1,0,2,2021
01075,898,-61,-6.4,10,1,0,2,2021
01077,1385,93,7.2,10,1,0,2,2021
01079,1418,93,7.0,10,1,0,2,2021
01081,1398,1,0.1,10,1,0,2,2021
01083,2358,205,9.5,10,1,0,2,2021
01085,1092,25,2.3,10,1,0,2,2021
01087,1498,68,4.8,10,1,0,2,2021
01089,2074,37,1.8,10,1,0,2,2021
01091,1067,118,12.4,10,1,0,2,2021
01093,1032,60,6.2,10,1,0,2,2021
01095,1425,43,3.1,10,1,0,2,2021
01097,1653,35,2.2,10,1,0,2,2021
01099,1217,183,17.7,10,1,0,2,2021
01101,1585,50,3.3,10,1,0,2,2021
01103,1441,65,4.7,10,1,0,2,2021
01105,948,40,4.4,10,1,0,2,2021
01107,1443,-51,-3.4,10,1,0,2,2021
01109,1202,56,4.9,10,1,0,2,2021
01111,1167,160,15.9,10,1,0,2,2021
01113,1141,-37,-3.1,10,1,0,2,2021
01115,1150,54,4.9,10,1,0,2,2021
01117,1330,69,5.5,10,1,0,2,2021
01119,1149,202,21.3,10,1,0,2,2021
01121,1512,36,2.4,10,1,0,2,2021
01123,1242,95,8.3,10,1,0,2,2021
01125,1421,17,1.2,10,1,0,2,2021
01127,1290,79,6.5,10,1,0,2,2021
01129,871,96,12.4,10,1,0,2,2021
01131,1252,165,15.2,10,1,0,2,2021
01133,1131,105,10.2,10,1,0,2,2021
01999,1768,41,2.4,10,1,0,2,2021
02000,1721,70,4.2,10,1,0,2,2021
02013,1558,442,39.6,10,1,0,2,2021
02016,1753,400,29.6,10,1,0,2,2021
02020,1819,58,3.3,10,1,0,2,2021
02050,1216,182,17.6,10,1,0,2,2021
02060,1609,-43,-2.6,10,1,0,2,2021
02063,1478,56,3.9,10,1,0,2,2021
02066,1557,-89,-5.4,10,1,0,2,2021
02068,1509,32,2.2,10,1,0,2,2021
02070,1401,114,8.9,10,1,0,2,2021
02090,1512,62,4.3,10,1,0,2,2021
02100,2089,122,6.2,10,1,0,2,2021
02105,1397,-102,-6.8,10,1,0,2,2021
02110,2032,59,3.0,10,1,0,2,2021
02122,1701,157,10.2,10,1,0,2,2021
02130,1786,75,4.4,10,1,0,2,2021
02150,1381,105,8.2,10,1,0,2,2021
02158,736,30,4.2,10,1,0,2,2021
02164,1013,-14,-1.4,10,1,0,2,2021
02170,2013,384,23.6,10,1,0,2,2021
02180,1356,-66,-4.6,10,1,0,2,2021
02185,1380,222,19.2,10,1,0,2,2021
02188,1444,203,16.4,10,1,0,2,2021
02195,1657,107,6.9,10,1,0,2,2021
02198,1523,81,5.6,10,1,0,2,2021
02220,1916,386,25.2,10,1,0,2,2021
02230,1377,-42,-3.0,10,1,0,2,2021
02240,1673,48,3.0,10,1,0,2,2021
02275,1531,34,2.3,10,1,0,2,2021
02282,1623,-1,-0.1,10,1,0,2,2021
02290,1209,51,4.4,10,1,0,2,2021
02999,1753,-126,-6.7,10,1,0,2,2021
04000,1699,59,3.6,10,1,0,2,2021
04001,1323,8,0.6,10,1,0,2,2021
04003,1721,35,2.1,10,1,0,2,2021
04005,1470,82,5.9,10,1,0,2,2021
04007,1547,225,17.0,10,1,0,2,2021
04009,1664,131,8.5,10,1,0,2,2021
04011,1318,107,8.8,10,1,0,2,2021
04012,1648,136,9.0,10,1,0,2,2021
04013,1681,67,4.2,10,1,0,2,2021
04015,1482,128,9.5,10,1,0,2,2021
04017,1588,134,9.2,10,1,0,2,2021
04019,1788,53,3.1,10,1,0,2,2021
04021,1892,-14,-0.7,10,1,0,2,2021
04023,2173,16,0.7,10,1,0,2,2021
04025,1673,66,4.1,10,1,0,2,2021
04027,1641,53,3.3,10,1,0,2,2021
04999,2020,37,1.9,10,1,0,2,2021
05000,1505,30,2.0,10,1,0,2,2021
05001,1278,41,3.3,10,1,0,2,2021
05003,1115,90,8.8,10,1,0,2,2021
05005,1296,67,5.5,10,1,0,2,2021
05007,1262,62,5.2,10,1,0,2,2021
05009,1294,-21,-1.6,10,1,0,2,2021
05011,991,145,17.1,10,1,0,2,2021
05013,1002,13,1.3,10,1,0,2,2021
05015,1211,44,3.8,10,1,0,2,2021
05017,963,-40,-4.0,10,1,0,2,2021
05019,1129,0,0.0,10,1,0,2,2021
05021,980,126,14.8,10,1,0,2,2021
05023,1068,38,3.7,10,1,0,2,2021
05025,980,59,6.4,10,1,0,2,2021
05027,1051,-8,-0.8,10,1,0,2,2021
05029,1074,-16,-1.5,10,1,0,2,2021
05031,1385,3,0.2,10,1,0,2,2021
05033,1265,35,2.8,10,1,0,2,2021
05035,1272,42,3.4,10,1,0,2,2021
05037,1119,18,1.6,10,1,0,2,2021
05039,836,-68,-7.5,10,1,0,2,2021
05041,971,51,5.5,10,1,0,2,2021
05043,1142,12,1.1,10,1,0,2,2021
05045,1202,14,1.2,10,1,0,2,2021
05047,1214,43,3.7,10,1,0,2,2021
05049,1106,175,18.8,10,1,0,2,2021
05051,1461,11,0.8,10,1,0,2,2021
05053,1047,135,14.8,10,1,0,2,2021
05055,1308,47,3.7,10,1,0,2,2021
05057,1261,12,1.0,10,1,0,2,2021
05059,1096,48,4.6,10,1,0,2,2021
05061,1239,152,14.0,10,1,0,2,2021
05063,1311,9,0.7,10,1,0,2,2021
05065,993,229,30.0,10,1,0,2,2021
05067,850,82,10.7,10,1,0,2,2021
05069,1553,55,3.7,10,1,0,2,2021
05071,1317,130,11.0,10,1,0,2,2021
05073,990,36,3.8,10,1,0,2,2021
05075,963,-19,-1.9,10,1,0,2,2021
05077,1157,155,15.5,10,1,0,2,2021
05079,935,14,1.5,10,1,0,2,2021
05081,1064,87,8.9,10,1,0,2,2021
05083,1158,55,5.0,10,1,0,2,2021
05085,1127,-25,-2.2,10,1,0,2,2021
05087,1068,-4,-0.4,10,1,0,2,2021
05089,1090,132,13.8,10,1,0,2,2021
05091,1321,68,5.4,10,1,0,2,2021
05093,1027,51,5.2,10,1,0,2,2021
05095,956,63,7.1,10,1,0,2,2021
05097,1127,50,4.6,10,1,0,2,2021
05099,804,47,6.2,10,1,0,2,2021
05101,1253,188,17.7,10,1,0,2,2021
05103,1275,-28,-2.1,10,1,0,2,2021
05105,983,98,11.1,10,1,0,2,2021
05107,1166,167,16.7,10,1,0,2,2021
05109,1117,94,9.2,10,1,0,2,2021
05111,1096,29,2.7,10,1,0,2,2021
05113,1225,56,4.8,10,1,0,2,2021
05115,1288,80,6.6,10,1,0,2,2021
05117,1007,21,2.1,10,1,0,2,2021
05119,1632,20,1.2,10,1,0,2,2021
05121,1204,80,7.1,10,1,0,2,2021
05123,1747,-184,-9.5,10,1,0,2,2021
05125,1141,2,0.2,10,1,0,2,2021
05127,1291,142,12.4,10,1,0,2,2021
05129,1034,44,4.4,10,1,0,2,2021
05131,1499,20,1.4,10,1,0,2,2021
05133,1285,113,9.6,10,1,0,2,2021
05135,928,-11,-1.2,10,1,0,2,2021
05137,1077,62,6.1,10,1,0,2,2021
05139,1418,7,0.5,10,1,0,2,2021
05141,1009,78,8.4,10,1,0,2,2021
05143,1669,69,4.3,10,1,0,2,2021
05145,1146,22,2.0,10,1,0,2,2021
05147,1152,95,9.0,10,1,0,2,2021
05149,1219,113,10.2,10,1,0,2,2021
05999,1679,-31,-1.8,10,1,0,2,2021
06000,1844,54,3.0,10,1,0,2,2021
06001,1991,32,1.6,10,1,0,2,2021
06003,0,-609,-100.0,10,1,0,2,2021
06005,1168,108,10.2,10,1,0,2,2021
06007,1417,177,14.3,10,1,0,2,2021
06009,1184,198,20.1,10,1,0,2,2021
06011,1235,243,24.5,10,1,0,2,2021
06013,1751,-15,-0.8,10,1,0,2,2021
06015,1155,90,8.5,10,1,0,2,2021
06017,1379,66,5.0,10,1,0,2,2021
06019,1405,65,4.9,10,1,0,2,2021
06021,1398,71,5.4,10,1,0,2,2021
06023,1453,135,10.2,10,1,0,2,2021
06025,2255,288,14.6,10,1,0,2,2021
06027,1345,65,5.1,10,1,0,2,2021
06029,1893,56,3.0,10,1,0,2,2021
06031,1242,61,5.2,10,1,0,2,2021
06033,1174,170,16.9,10,1,0,2,2021
06035,1180,10,0.9,10,1,0,2,2021
06037,1873,43,2.3,10,1,0,2,2021
06039,1192,68,6.0,10,1,0,2,2021
06041,1583,110,7.5,10,1,0,2,2021
06043,1198,-79,-6.2,10,1,0,2,2021
06045,1388,142,11.4,10,1,0,2,2021
06047,1517,56,3.8,10,1,0,2,2021
06049,1286,194,17.8,10,1,0,2,2021
06051,1391,74,5.6,10,1,0,2,2021
06053,1859,44,2.4,10,1,0,2,2021
06055,1448,19,1.3,10,1,0,2,2021
06057,1445,206,16.6,10,1,0,2,2021
06059,1759,49,2.9,10,1,0,2,2021
06061,1453,138,10.5,10,1,0,2,2021
06063,1233,166,15.6,10,1,0,2,2021
06065,1824,89,5.1,10,1,0,2,2021
06067,1919,16,0.8,10,1,0,2,2021
06069,1500,17,1.1,10,1,0,2,2021
06071,1637,61,3.9,10,1,0,2,2021
06073,1945,86,4.6,10,1,0,2,2021
06075,2328,7,0.3,10,1,0,2,2021
06077,1507,39,2.7,10,1,0,2,2021
06079,1268,24,1.9,10,1,0,2,2021
06081,1970,-1,-0.1,10,1,0,2,2021
06083,1622,131,8.8,10,1,0,2,2021
06085,2160,-65,-2.9,10,1,0,2,2021
06087,1682,-133,-7.3,10,1,0,2,2021
06089,1560,70,4.7,10,1,0,2,2021
06091,1243,164,15.2,10,1,0,2,2021
06093,1469,195,15.3,10,1,0,2,2021
06095,1630,31,1.9,10,1,0,2,2021
06097,1636,130,8.6,10,1,0,2,2021
06099,1481,83,5.9,10,1,0,2,2021
06101,1411,115,8.9,10,1,0,2,2021
06103,1287,146,12.8,10,1,0,2,2021
06105,1243,301,32.0,10,1,0,2,2021
