fips,avg_wkly_wage,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,ind,own,size,qtr,year
01000,990,47,5.0,10,5,0,2,2021
01001,789,16,2.1,10,5,0,2,2021
01003,810,46,6.0,10,5,0,2,2021
01005,737,24,3.4,10,5,0,2,2021
01007,887,31,3.6,10,5,0,2,2021
01009,743,43,6.1,10,5,0,2,2021
01011,792,-6,-0.8,10,5,0,2,2021
01013,747,44,6.3,10,5,0,2,2021
01015,787,43,5.8,10,5,0,2,2021
01017,755,41,5.7,10,5,0,2,2021
01019,709,42,6.3,10,5,0,2,2021
01021,786,55,7.5,10,5,0,2,2021
01023,1058,65,6.5,10,5,0,2,2021
01025,880,64,7.8,10,5,0,2,2021
01027,759,62,8.9,10,5,0,2,2021
01029,1054,84,8.7,10,5,0,2,2021
01031,749,56,8.1,10,5,0,2,2021
01033,929,55,6.3,10,5,0,2,2021
01035,773,62,8.7,10,5,0,2,2021
01037,807,61,8.2,10,5,0,2,2021
01039,760,33,4.5,10,5,0,2,2021
01041,868,105,13.8,10,5,0,2,2021
01043,863,63,7.9,10,5,0,2,2021
01045,1071,35,3.4,10,5,0,2,2021
01047,789,23,3.0,10,5,0,2,2021
01049,806,51,6.8,10,5,0,2,2021
01051,710,23,3.3,10,5,0,2,2021
01053,806,51,6.8,10,5,0,2,2021
01055,773,52,7.2,10,5,0,2,2021
01057,677,37,5.8,10,5,0,2,2021
01059,768,62,8.8,10,5,0,2,2021
01061,685,19,2.9,10,5,0,2,2021
01063,763,95,14.2,10,5,0,2,2021
01065,811,9,1.1,10,5,0,2,2021
01067,807,4,0.5,10,5,0,2,2021
01069,879,56,6.8,10,5,0,2,2021
01071,817,69,9.2,10,5,0,2,2021
01073,1162,63,5.7,10,5,0,2,2021
01075,841,2,0.2,10,5,0,2,2021
01077,736,32,4.5,10,5,0,2,2021
01079,768,49,6.8,10,5,0,2,2021
01081,761,17,2.3,10,5,0,2,2021
01083,928,57,6.5,10,5,0,2,2021
01085,1053,67,6.8,10,5,0,2,2021
01087,650,-14,-2.1,10,5,0,2,2021
01089,1229,28,2.3,10,5,0,2,2021
01091,906,87,10.6,10,5,0,2,2021
01093,773,72,10.3,10,5,0,2,2021
01095,785,65,9.0,10,5,0,2,2021
01097,967,21,2.2,10,5,0,2,2021
01099,916,46,5.3,10,5,0,2,2021
01101,923,53,6.1,10,5,0,2,2021
01103,1016,64,6.7,10,5,0,2,2021
01105,659,15,2.3,10,5,0,2,2021
01107,757,34,4.7,10,5,0,2,2021
01109,850,29,3.5,10,5,0,2,2021
01111,692,45,7.0,10,5,0,2,2021
01113,789,39,5.2,10,5,0,2,2021
01115,828,59,7.7,10,5,0,2,2021
01117,1126,55,5.1,10,5,0,2,2021
01119,751,2,0.3,10,5,0,2,2021
01121,920,48,5.5,10,5,0,2,2021
01123,760,50,7.0,10,5,0,2,2021
01125,920,61,7.1,10,5,0,2,2021
01127,794,34,4.5,10,5,0,2,2021
01129,1510,97,6.9,10,5,0,2,2021
01131,940,87,10.2,10,5,0,2,2021
