fips,avg_wkly_wage,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,ind,own,size,qtr,year
01000,1689,87,5.4,10,1,0,3,2021
01001,1095,207,23.3,10,1,0,3,2021
01003,1131,134,13.4,10,1,0,3,2021
01005,1097,194,21.5,10,1,0,3,2021
01007,1234,104,9.2,10,1,0,3,2021
01009,1086,248,29.6,10,1,0,3,2021
01011,1110,312,39.1,10,1,0,3,2021
01013,931,201,27.5,10,1,0,3,2021
01015,1275,-26,-2.0,10,1,0,3,2021
01017,1086,273,33.6,10,1,0,3,2021
01019,993,257,34.9,10,1,0,3,2021
01021,914,152,19.9,10,1,0,3,2021
01023,824,154,23.0,10,1,0,3,2021
01025,1118,224,25.1,10,1,0,3,2021
01027,989,47,5.0,10,1,0,3,2021
01029,1191,256,27.4,10,1,0,3,2021
01031,1363,101,8.0,10,1,0,3,2021
01033,2166,151,7.5,10,1,0,3,2021
01035,1022,272,36.3,10,1,0,3,2021
01037,935,193,26.0,10,1,0,3,2021
01039,1146,182,18.9,10,1,0,3,2021
01041,839,165,24.5,10,1,0,3,2021
01043,1128,148,15.1,10,1,0,3,2021
01045,1483,53,3.7,10,1,0,3,2021
01047,1252,185,17.3,10,1,0,3,2021
01049,1003,126,14.4,10,1,0,3,2021
01051,936,103,12.4,10,1,0,3,2021
01053,1029,252,32.4,10,1,0,3,2021
01055,1348,192,16.6,10,1,0,3,2021
01057,850,83,10.8,10,1,0,3,2021
01059,1068,135,14.5,10,1,0,3,2021
01061,836,3,0.4,10,1,0,3,2021
01063,869,161,22.7,10,1,0,3,2021
01065,1016,158,18.4,10,1,0,3,2021
01067,804,118,17.2,10,1,0,3,2021
01069,1187,114,10.6,10,1,0,3,2021
01071,1330,94,7.6,10,1,0,3,2021
01073,1413,28,2.0,10,1,0,3,2021
01075,786,65,9.0,10,1,0,3,2021
01077,1290,291,29.1,10,1,0,3,2021
01079,1417,228,19.2,10,1,0,3,2021
01081,1295,200,18.3,10,1,0,3,2021
01083,2382,82,3.6,10,1,0,3,2021
01085,1017,188,22.7,10,1,0,3,2021
01087,1357,71,5.5,10,1,0,3,2021
01089,2226,83,3.9,10,1,0,3,2021
01091,1040,264,34.0,10,1,0,3,2021
01093,942,129,15.9,10,1,0,3,2021
01095,1347,205,18.0,10,1,0,3,2021
01097,1580,113,7.7,10,1,0,3,2021
01099,1023,179,21.2,10,1,0,3,2021
01101,1392,43,3.2,10,1,0,3,2021
01103,1298,181,16.2,10,1,0,3,2021
01105,915,259,39.5,10,1,0,3,2021
01107,1275,-7,-0.5,10,1,0,3,2021
01109,1054,164,18.4,10,1,0,3,2021
01111,984,216,28.1,10,1,0,3,2021
01113,1083,165,18.0,10,1,0,3,2021
01115,993,174,21.2,10,1,0,3,2021
01117,1151,157,15.8,10,1,0,3,2021
01119,1086,370,51.7,10,1,0,3,2021
01121,1273,38,3.1,10,1,0,3,2021
01123,1032,69,7.2,10,1,0,3,2021
01125,1260,23,1.9,10,1,0,3,2021
01127,1117,138,14.1,10,1,0,3,2021
01129,741,166,28.9,10,1,0,3,2021
01131,1157,162,16.3,10,1,0,3,2021
01133,1083,210,24.1,10,1,0,3,2021
01999,1557,32,2.1,10,1,0,3,2021
02000,1620,124,8.3,10,1,0,3,2021
02013,1207,-297,-19.7,10,1,0,3,2021
02016,1271,3,0.2,10,1,0,3,2021
02020,1651,94,6.0,10,1,0,3,2021
02050,1039,18,1.8,10,1,0,3,2021
02060,1463,86,6.2,10,1,0,3,2021
02063,1310,73,5.9,10,1,0,3,2021
02066,1394,118,9.2,10,1,0,3,2021
02068,1496,195,15.0,10,1,0,3,2021
02070,1243,102,8.9,10,1,0,3,2021
02090,1607,152,10.4,10,1,0,3,2021
02100,2104,328,18.5,10,1,0,3,2021
02105,1306,53,4.2,10,1,0,3,2021
02110,1842,133,7.8,10,1,0,3,2021
02122,1596,308,23.9,10,1,0,3,2021
02130,1646,97,6.3,10,1,0,3,2021
02150,1265,106,9.1,10,1,0,3,2021
02158,614,6,1.0,10,1,0,3,2021
02164,1146,194,20.4,10,1,0,3,2021
02170,1764,508,40.4,10,1,0,3,2021
02180,1207,38,3.3,10,1,0,3,2021
02185,1121,-34,-2.9,10,1,0,3,2021
02188,1321,187,16.5,10,1,0,3,2021
02195,1510,250,19.8,10,1,0,3,2021
02198,1372,33,2.5,10,1,0,3,2021
02220,1458,127,9.5,10,1,0,3,2021
02230,1282,145,12.8,10,1,0,3,2021
02240,1864,56,3.1,10,1,0,3,2021
02275,1480,177,13.6,10,1,0,3,2021
02282,1638,232,16.5,10,1,0,3,2021
02290,992,-77,-7.2,10,1,0,3,2021
02999,1701,88,5.5,10,1,0,3,2021
04000,1534,113,8.0,10,1,0,3,2021
04001,1274,78,6.5,10,1,0,3,2021
04003,1796,100,5.9,10,1,0,3,2021
04005,1427,135,10.4,10,1,0,3,2021
04007,1680,292,21.0,10,1,0,3,2021
04009,1447,67,4.9,10,1,0,3,2021
04011,1352,401,42.2,10,1,0,3,2021
04012,1489,80,5.7,10,1,0,3,2021
04013,1483,136,10.1,10,1,0,3,2021
04015,1298,259,24.9,10,1,0,3,2021
04017,1466,109,8.0,10,1,0,3,2021
04019,1524,52,3.5,10,1,0,3,2021
04021,1698,141,9.1,10,1,0,3,2021
04023,1963,164,9.1,10,1,0,3,2021
04025,1536,187,13.9,10,1,0,3,2021
04027,1528,96,6.7,10,1,0,3,2021
04999,1763,73,4.3,10,1,0,3,2021
05000,1382,149,12.1,10,1,0,3,2021
05001,1230,158,14.7,10,1,0,3,2021
05003,1109,368,49.7,10,1,0,3,2021
05005,1380,282,25.7,10,1,0,3,2021
05007,1116,183,19.6,10,1,0,3,2021
05009,1156,89,8.3,10,1,0,3,2021
05011,986,389,65.2,10,1,0,3,2021
05013,924,264,40.0,10,1,0,3,2021
05015,1068,160,17.6,10,1,0,3,2021
05017,955,87,10.0,10,1,0,3,2021
05019,1157,184,18.9,10,1,0,3,2021
05021,824,116,16.4,10,1,0,3,2021
05023,1080,166,18.2,10,1,0,3,2021
05025,897,229,34.3,10,1,0,3,2021
05027,929,273,41.6,10,1,0,3,2021
05029,1018,274,36.8,10,1,0,3,2021
05031,1273,228,21.8,10,1,0,3,2021
05033,1140,243,27.1,10,1,0,3,2021
05035,1120,266,31.1,10,1,0,3,2021
05037,1152,132,12.9,10,1,0,3,2021
05039,806,187,30.2,10,1,0,3,2021
05041,702,6,0.9,10,1,0,3,2021
05043,986,163,19.8,10,1,0,3,2021
05045,1103,230,26.3,10,1,0,3,2021
05047,1157,88,8.2,10,1,0,3,2021
05049,920,200,27.8,10,1,0,3,2021
05051,1426,202,16.5,10,1,0,3,2021
05053,863,236,37.6,10,1,0,3,2021
05055,1091,64,6.2,10,1,0,3,2021
05057,1102,216,24.4,10,1,0,3,2021
05059,1017,281,38.2,10,1,0,3,2021
05061,1101,203,22.6,10,1,0,3,2021
05063,1115,103,10.2,10,1,0,3,2021
05065,856,192,28.9,10,1,0,3,2021
05067,789,100,14.5,10,1,0,3,2021
05069,1628,158,10.7,10,1,0,3,2021
05071,1231,217,21.4,10,1,0,3,2021
05073,930,243,35.4,10,1,0,3,2021
05075,874,90,11.5,10,1,0,3,2021
05077,997,226,29.3,10,1,0,3,2021
05079,829,160,23.9,10,1,0,3,2021
05081,1014,97,10.6,10,1,0,3,2021
05083,1087,206,23.4,10,1,0,3,2021
05085,976,62,6.8,10,1,0,3,2021
05087,945,138,17.1,10,1,0,3,2021
05089,909,188,26.1,10,1,0,3,2021
05091,1210,259,27.2,10,1,0,3,2021
05093,921,172,23.0,10,1,0,3,2021
05095,838,187,28.7,10,1,0,3,2021
05097,1154,257,28.7,10,1,0,3,2021
05099,681,87,14.6,10,1,0,3,2021
05101,1140,135,13.4,10,1,0,3,2021
05103,1174,172,17.2,10,1,0,3,2021
05105,835,207,33.0,10,1,0,3,2021
05107,1005,296,41.7,10,1,0,3,2021
05109,1186,152,14.7,10,1,0,3,2021
05111,984,175,21.6,10,1,0,3,2021
05113,1089,181,19.9,10,1,0,3,2021
05115,1306,243,22.9,10,1,0,3,2021
05117,969,92,10.5,10,1,0,3,2021
05119,1486,87,6.2,10,1,0,3,2021
05121,1072,275,34.5,10,1,0,3,2021
05123,1494,-102,-6.4,10,1,0,3,2021
05125,1042,282,37.1,10,1,0,3,2021
05127,1236,306,32.9,10,1,0,3,2021
05129,935,123,15.1,10,1,0,3,2021
05131,1387,141,11.3,10,1,0,3,2021
05133,1173,126,12.0,10,1,0,3,2021
05135,904,216,31.4,10,1,0,3,2021
05137,1096,207,23.3,10,1,0,3,2021
05139,1249,146,13.2,10,1,0,3,2021
05141,995,292,41.5,10,1,0,3,2021
05143,1453,145,11.1,10,1,0,3,2021
05145,1028,128,14.2,10,1,0,3,2021
05147,1045,79,8.2,10,1,0,3,2021
05149,1181,184,18.5,10,1,0,3,2021
05999,1459,-67,-4.4,10,1,0,3,2021
06000,1657,151,10.0,10,1,0,3,2021
06001,1783,168,10.4,10,1,0,3,2021
06003,0,-374,-100.0,10,1,0,3,2021
06005,1265,339,36.6,10,1,0,3,2021
06007,1359,326,31.6,10,1,0,3,2021
06009,1224,292,31.3,10,1,0,3,2021
06011,1501,299,24.9,10,1,0,3,2021
06013,1602,198,14.1,10,1,0,3,2021
06015,1382,213,18.2,10,1,0,3,2021
06017,1764,414,30.7,10,1,0,3,2021
06019,1303,121,10.2,10,1,0,3,2021
06021,1496,213,16.6,10,1,0,3,2021
06023,1462,232,18.9,10,1,0,3,2021
06025,1961,345,21.3,10,1,0,3,2021
06027,1509,182,13.7,10,1,0,3,2021
06029,1665,85,5.4,10,1,0,3,2021
06031,1125,73,6.9,10,1,0,3,2021
06033,1281,94,7.9,10,1,0,3,2021
06035,1394,-8,-0.6,10,1,0,3,2021
06037,1647,183,12.5,10,1,0,3,2021
06039,1363,380,38.7,10,1,0,3,2021
06041,1430,271,23.4,10,1,0,3,2021
06043,1152,66,6.1,10,1,0,3,2021
06045,1320,172,15.0,10,1,0,3,2021
06047,1318,181,15.9,10,1,0,3,2021
06049,1556,175,12.7,10,1,0,3,2021
06051,1503,58,4.0,10,1,0,3,2021
06053,1907,131,7.4,10,1,0,3,2021
06055,1287,211,19.6,10,1,0,3,2021
06057,1662,393,31.0,10,1,0,3,2021
06059,1567,202,14.8,10,1,0,3,2021
06061,1328,268,25.3,10,1,0,3,2021
06063,1903,396,26.3,10,1,0,3,2021
06065,1584,183,13.1,10,1,0,3,2021
06067,1766,146,9.0,10,1,0,3,2021
06069,1237,97,8.5,10,1,0,3,2021
06071,1484,123,9.0,10,1,0,3,2021
06073,1711,96,5.9,10,1,0,3,2021
06075,2046,155,8.2,10,1,0,3,2021
06077,1391,149,12.0,10,1,0,3,2021
06079,1221,217,21.6,10,1,0,3,2021
06081,1719,152,9.7,10,1,0,3,2021
06083,1430,76,5.6,10,1,0,3,2021
06085,1929,129,7.2,10,1,0,3,2021
06087,1499,234,18.5,10,1,0,3,2021
06089,1673,229,15.9,10,1,0,3,2021
06091,1696,358,26.8,10,1,0,3,2021
06093,1749,324,22.7,10,1,0,3,2021
06095,1422,73,5.4,10,1,0,3,2021
06097,1433,267,22.9,10,1,0,3,2021
06099,1285,219,20.5,10,1,0,3,2021
06101,1233,402,48.4,10,1,0,3,2021
06103,1354,239,21.4,10,1,0,3,2021
06105,1915,310,19.3,10,1,0,3,2021
06107,1238,173,16.2,10,1,0,3,2021
06109,1577,145,10.1,10,1,0,3,2021
06111,1796,116,6.9,10,1,0,3,2021
06113,1291,65,5.3,10,1,0,3,2021
06115,1114,45,4.2,10,1,0,3,2021
06999,1773,-6,-0.3,10,1,0,3,2021
08000,1727,190,12.4,10,1,0,3,2021
08001,1981,296,17.6,10,1,0,3,2021
08003,1100,59,5.7,10,1,0,3,2021
08005,1543,75,5.1,10,1,0,3,2021
08007,1414,205,17.0,10,1,0,3,2021
08009,930,66,7.6,10,1,0,3,2021
08011,1068,64,6.4,10,1,0,3,2021
