fips,avg_wkly_wage,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,ind,own,size,qtr,year
01000,862,17,2.0,10,3,0,1,2021
01001,757,-12,-1.6,10,3,0,1,2021
01003,854,29,3.5,10,3,0,1,2021
01005,712,-3,-0.4,10,3,0,1,2021
01007,679,3,0.4,10,3,0,1,2021
01009,715,21,3.0,10,3,0,1,2021
01011,710,30,4.4,10,3,0,1,2021
01013,722,55,8.2,10,3,0,1,2021
01015,818,0,0.0,10,3,0,1,2021
01017,814,23,2.9,10,3,0,1,2021
01019,730,29,4.1,10,3,0,1,2021
01021,728,12,1.7,10,3,0,1,2021
01023,678,24,3.7,10,3,0,1,2021
01025,722,11,1.5,10,3,0,1,2021
01027,681,37,5.7,10,3,0,1,2021
01029,790,58,7.9,10,3,0,1,2021
01031,781,11,1.4,10,3,0,1,2021
01033,912,30,3.4,10,3,0,1,2021
01035,709,15,2.2,10,3,0,1,2021
01037,606,-4,-0.7,10,3,0,1,2021
01039,716,40,5.9,10,3,0,1,2021
01041,685,28,4.3,10,3,0,1,2021
01043,753,52,7.4,10,3,0,1,2021
01045,718,29,4.2,10,3,0,1,2021
01047,705,21,3.1,10,3,0,1,2021
01049,773,18,2.4,10,3,0,1,2021
01051,721,11,1.5,10,3,0,1,2021
01053,859,-1,-0.1,10,3,0,1,2021
01055,753,10,1.3,10,3,0,1,2021
01057,687,29,4.4,10,3,0,1,2021
01059,785,-9,-1.1,10,3,0,1,2021
01061,659,26,4.1,10,3,0,1,2021
01063,698,38,5.8,10,3,0,1,2021
01065,703,64,10.0,10,3,0,1,2021
01067,722,35,5.1,10,3,0,1,2021
01069,1007,75,8.0,10,3,0,1,2021
01071,750,25,3.4,10,3,0,1,2021
01073,1005,5,0.5,10,3,0,1,2021
01075,703,2,0.3,10,3,0,1,2021
01077,806,12,1.5,10,3,0,1,2021
01079,697,0,0.0,10,3,0,1,2021
01081,948,75,8.6,10,3,0,1,2021
01083,835,2,0.2,10,3,0,1,2021
01085,711,-15,-2.1,10,3,0,1,2021
01087,785,8,1.0,10,3,0,1,2021
01089,997,-37,-3.6,10,3,0,1,2021
01091,744,44,6.3,10,3,0,1,2021
01093,762,19,2.6,10,3,0,1,2021
01095,847,3,0.4,10,3,0,1,2021
01097,847,55,6.9,10,3,0,1,2021
01099,745,81,12.2,10,3,0,1,2021
01101,863,-25,-2.8,10,3,0,1,2021
01103,843,-16,-1.9,10,3,0,1,2021
01105,648,12,1.9,10,3,0,1,2021
01107,698,-8,-1.1,10,3,0,1,2021
01109,0,0,0,10,3,0,1,2021
01111,700,22,3.2,10,3,0,1,2021
